953,Radiologi,XR pergelangan tangan dua proyeksi,Permintaan & Hasil,37925-5,XR Wrist 2 Views,Views 2,Find,Pt,Upper extremity>Wrist,Doc,XR,,http://loinc.org,,,
954,Radiologi,XR pergelangan tangan lengkap minimal tiga proyeksi,Permintaan & Hasil,44190-7,XR Wrist GE 3 Views,Views GE 3,Find,Pt,Upper extremity>Wrist,Doc,XR,,http://loinc.org,,,
955,Radiologi,XR sacrum dua proyeksi,Permintaan & Hasil,37651-7,XR Sacrum 2 Views,Views 2,Find,Pt,Pelvis>Sacrum,Doc,XR,,http://loinc.org,,,
956,Radiologi,XR sacrum lateral,Permintaan & Hasil,37652-5,XR Sacrum AP and Lateral,Views AP + lateral,Find,Pt,Pelvis>Sacrum,Doc,XR,,http://loinc.org,,,
957,Radiologi,XR sakrum dan koksigea minimal dua proyeksi,Permintaan & Hasil,79367-9,XR Sacrum and Coccyx GE 2 Views,Views GE 2,Find,Pt,Pelvis>Sacrum+Coccyx,Doc,XR,,http://loinc.org,,,
958,Radiologi,XR scapula,Permintaan & Hasil,24903-7,XR Scapula Views,Views,Find,Pt,Chest>Scapula,Doc,XR,,http://loinc.org,,,
959,Radiologi,XR scapula AP dan lateral kanan,Permintaan & Hasil,37788-7,XR Scapula - right AP and Lateral,Views AP + lateral,Find,Pt,Chest>Scapula.right,Doc,XR,,http://loinc.org,,,
960,Radiologi,XR scapula AP dan lateral kiri,Permintaan & Hasil,36715-1,XR Scapula - left AP and Lateral,Views AP + lateral,Find,Pt,Chest>Scapula.left,Doc,XR,,http://loinc.org,,,
961,Radiologi,XR scapula AP kanan,Permintaan & Hasil,39048-4,XR Scapula AP,View AP,Find,Pt,Chest>Scapula,Doc,XR,,http://loinc.org,719628000,Bone structure of right scapula,http://snomed.info/sct
962,Radiologi,XR scapula AP kiri,Permintaan & Hasil,39048-4,XR Scapula AP,View AP,Find,Pt,Chest>Scapula,Doc,XR,,http://loinc.org,719627005,Bone structure of left scapula,http://snomed.info/sct
963,Radiologi,XR scapula kanan,Permintaan & Hasil,26156-0,XR Scapula - right Views,Views,Find,Pt,Chest>Scapula.right,Doc,XR,,http://loinc.org,,,
964,Radiologi,XR scapula kiri,Permintaan & Hasil,26155-2,XR Scapula - left Views,Views,Find,Pt,Chest>Scapula.left,Doc,XR,,http://loinc.org,,,
965,Radiologi,XR schedel AP dan lateral nonkontras,Permintaan & Hasil,X099268,XR schedel AP dan lateral nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
966,Radiologi,XR schuler view,Permintaan & Hasil,24745-2,XR Petrous part of temporal bone Views,Views,Find,Pt,Head>Petrous part of temporal bone,Doc,XR,,http://loinc.org,,,
967,Radiologi,XR sefalogram ortodonti,Permintaan & Hasil,43787-1,XR Skull and Facial bones and Mandible Views for dental measurement,Views for dental measurement,Find,Pt,Head>Skull+Facial bones+Mandible,Doc,XR,,http://loinc.org,,,
968,Radiologi,XR sella tursika,Permintaan & Hasil,42159-4,XR Sella turcica Views,Views,Find,Pt,Head>Sella turcica,Doc,XR,,http://loinc.org,,,
969,Radiologi,XR sendi sakroiliaka kurang dari tiga proyeksi,Permintaan & Hasil,48467-5,XR Sacroiliac Joint 1 or 2 Views,Views 1 or 2,Find,Pt,Pelvis>Sacroiliac joint,Doc,XR,,http://loinc.org,,,
970,Radiologi,XR sendi sakroiliaka tiga proyeksi atau lebih,Permintaan & Hasil,44189-9,XR Sacroiliac Joint GE 3 Views,Views GE 3,Find,Pt,Pelvis>Sacroiliac joint,Doc,XR,,http://loinc.org,,,
971,Radiologi,XR sendi sternoklavikula empat proyeksi,Permintaan & Hasil,37882-8,XR Sternoclavicular Joint 4 Views,Views 4,Find,Pt,Chest>Sternoclavicular joint,Doc,XR,,http://loinc.org,,,
972,Radiologi,XR sendi sternoklavikula tiga proyeksi,Permintaan & Hasil,37881-0,XR Sternoclavicular Joint 3 Views,Views 3,Find,Pt,Chest>Sternoclavicular joint,Doc,XR,,http://loinc.org,,,
973,Radiologi,XR sendi temporomandibula buka dan tutup mulut bilateral,Permintaan & Hasil,37546-9,XR Temporomandibular joint - bilateral Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.bilateral,Doc,XR,,http://loinc.org,,,
974,Radiologi,XR sendi temporomandibula buka dan tutup mulut unilateral,Permintaan & Hasil,48699-3,XR Temporomandibular joint - unilateral Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.unilateral,Doc,XR,,http://loinc.org,,,
975,Radiologi,XR shift scath,Permintaan & Hasil,95611-0,XR Teeth Occlusal Views,Views occlusal,Find,Pt,Head>Teeth,Doc,XR,,http://loinc.org,,,
976,Radiologi,XR shoulder exo dan endo kanan,Permintaan & Hasil,39395-9,XR Shoulder - right AP internal rotation and AP external rotation,Views AP internal rotation + AP external rotation,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
977,Radiologi,XR shoulder exo dan endo kiri,Permintaan & Hasil,39328-0,XR Shoulder - left AP internal rotation and AP external rotation,Views AP internal rotation + AP external rotation,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
978,Radiologi,"XR shoulder joint axillary, AP dan Y-view kanan",Permintaan & Hasil,38783-7,XR Shoulder - right AP and Axillary and Y,Views AP + axillary + Y,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
979,Radiologi,"XR shoulder joint axillary, AP dan Y-view kiri",Permintaan & Hasil,37084-1,XR Shoulder - left AP and Axillary and Y,Views AP + axillary + Y,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
980,Radiologi,XR shoulder joint endo dan ekso kanan,Permintaan & Hasil,39395-9,XR Shoulder - right AP internal rotation and AP external rotation,Views AP internal rotation + AP external rotation,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
981,Radiologi,XR shoulder joint endo dan ekso kiri,Permintaan & Hasil,39328-0,XR Shoulder - left AP internal rotation and AP external rotation,Views AP internal rotation + AP external rotation,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
982,Radiologi,XR shoulder tiga proyeksi bilateral,Permintaan & Hasil,26382-2,XR Shoulder - bilateral 3 Views,Views 3,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,XR,,http://loinc.org,,,
983,Radiologi,XR sinus caldwell,Permintaan & Hasil,37857-0,XR Sinuses Caldwell,View Caldwell,Find,Pt,Head>Sinuses,Doc,XR,,http://loinc.org,,,
984,Radiologi,XR sinus paranasal,Permintaan & Hasil,24916-9,XR Sinuses Views,Views,Find,Pt,Head>Sinuses,Doc,XR,,http://loinc.org,,,
985,Radiologi,XR sinus paranasal kurang dari tiga proyeksi,Permintaan & Hasil,43523-0,XR Sinuses 1 or 2 Views,Views 1 or 2,Find,Pt,Head>Sinuses,Doc,XR,,http://loinc.org,,,
986,Radiologi,XR sinus paranasal minimal tiga proyeksi,Permintaan & Hasil,43486-0,XR Sinuses GE 3 Views,Views GE 3,Find,Pt,Head>Sinuses,Doc,XR,,http://loinc.org,,,
987,Radiologi,XR sinus paranasal waters dan lateral,Permintaan & Hasil,37862-0,XR Sinuses Lateral and Waters,Views lateral + Waters,Find,Pt,Head>Sinuses,Doc,XR,,http://loinc.org,,,
988,Radiologi,XR skapula bilateral,Permintaan & Hasil,26154-5,XR Scapula - bilateral Views,Views,Find,Pt,Chest>Scapula.bilateral,Doc,XR,,http://loinc.org,,,
989,Radiologi,XR skapula dua proyeksi,Permintaan & Hasil,37655-8,XR Scapula 2 Views,Views 2,Find,Pt,Chest>Scapula,Doc,XR,,http://loinc.org,,,
990,Radiologi,XR skapula dua proyeksi kanan,Permintaan & Hasil,37787-9,XR Scapula - right 2 Views,Views 2,Find,Pt,Chest>Scapula.right,Doc,XR,,http://loinc.org,,,
991,Radiologi,XR skapula dua proyeksi kiri,Permintaan & Hasil,36666-6,XR Scapula - left 2 Views,Views 2,Find,Pt,Chest>Scapula.left,Doc,XR,,http://loinc.org,,,
992,Radiologi,XR skull AP,Permintaan & Hasil,69269-9,XR Skull AP,View AP,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
993,Radiologi,XR skull AP dan lateral,Permintaan & Hasil,24919-3,XR Skull AP and Lateral,Views AP + lateral,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
994,Radiologi,XR skull lateral,Permintaan & Hasil,24920-1,XR Skull Lateral,View lateral,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
995,Radiologi,XR skull PA,Permintaan & Hasil,69270-7,XR Skull PA,View PA,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
996,Radiologi,XR sky line kanan,Permintaan & Hasil,69256-6,XR Knee - right Sunrise,View Sunrise,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
997,Radiologi,XR sky line kiri,Permintaan & Hasil,43779-8,XR Knee - left Sunrise,View Sunrise,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
998,Radiologi,XR soft tissue leher AP,Permintaan & Hasil,42439-0,XR Neck AP,View AP,Find,Pt,Neck,Doc,XR,,http://loinc.org,,,
999,Radiologi,XR soft tissue leher lateral,Permintaan & Hasil,24843-5,XR Neck Lateral,View lateral,Find,Pt,Neck,Doc,XR,,http://loinc.org,,,
1000,Radiologi,XR spesimen bedah,Permintaan & Hasil,72876-6,XR Surgical specimen Views,Views,Find,Pt,^Surgical specimen,Doc,XR,,http://loinc.org,,,
1001,Radiologi,XR spot nasal lateral,Permintaan & Hasil,24834-4,XR Nasal bones Views,Views,Find,Pt,Head>Nasal bones,Doc,XR,,http://loinc.org,,,
1002,Radiologi,XR stenvers kanan,Permintaan & Hasil,37153-4,XR Mastoid Stenver and Arcelin,Views Stenver + Arcelin,Find,Pt,Head>Mastoid,Doc,XR,,http://loinc.org,763872005,Structure of right mastoid bone,http://snomed.info/sct
1003,Radiologi,XR stenvers kiri,Permintaan & Hasil,37153-4,XR Mastoid Stenver and Arcelin,Views Stenver + Arcelin,Find,Pt,Head>Mastoid,Doc,XR,,http://loinc.org,763871003,Structure of left mastoid bone,http://snomed.info/sct
1004,Radiologi,XR sternum minimal dua proyeksi,Permintaan & Hasil,37883-6,XR Sternum 2 Views,Views 2,Find,Pt,Chest>Sternum,Doc,XR,,http://loinc.org,,,
1005,Radiologi,XR sternum PA,Permintaan & Hasil,98330-4,XR Sternum PA Views,Views PA,Find,Pt,Chest>Sternum,Doc,XR,,http://loinc.org,,,
1006,Radiologi,XR survey tulang (Bone Survey),Permintaan & Hasil,43518-0,XR Bones Survey Views,Views survey,Find,Pt,XXX>Bones,Doc,XR,,http://loinc.org,,,
1007,Radiologi,XR survey tulang lengkap,Permintaan & Hasil,83020-8,XR Bones Complete Survey Views,Views survey complete,Find,Pt,XXX>Bones,Doc,XR,,http://loinc.org,,,
1008,Radiologi,XR survey tulang terbatas,Permintaan & Hasil,43519-8,XR Bones Limited Survey Views,Views survey limited,Find,Pt,XXX>Bones,Doc,XR,,http://loinc.org,,,
1009,Radiologi,XR survey tulang terbatas untuk metastasis,Permintaan & Hasil,38089-9,XR Bones Limited Survey Views for metastasis,Views survey limited for metastasis,Find,Pt,XXX>Bones,Doc,XR,,http://loinc.org,,,
1010,Radiologi,XR tangan dua proyeksi,Permintaan & Hasil,24721-3,XR Hand 2 Views,Views 2,Find,Pt,Upper extremity>Hand,Doc,XR,,http://loinc.org,,,
1011,Radiologi,XR tangan minimal tiga proyeksi,Permintaan & Hasil,79357-0,XR Hand GE 3 Views,Views GE 3,Find,Pt,Upper extremity>Hand,Doc,XR,,http://loinc.org,,,
1012,Radiologi,XR thoracolumbal bending kiri,Permintaan & Hasil,44206-1,XR Thoracic and lumbar spine for scoliosis single view,View for scoliosis,Find,Pt,Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1013,Radiologi,"XR thorakolumbal AP, lateral, oblique kanan dan kiri",Permintaan & Hasil,X099269,"XR thorakolumbal AP, lateral, oblique kanan dan kiri",,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
1014,Radiologi,XR thorakolumbal oblique,Permintaan & Hasil,X099270,XR thorakolumbal oblique,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
1015,Radiologi,XR thorax AP,Permintaan & Hasil,36572-6,XR Chest AP,View AP,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1016,Radiologi,XR thorax dua proyeksi,Permintaan & Hasil,36643-5,XR Chest 2 Views,Views 2,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1017,Radiologi,XR thorax dua proyeksi AP dan lateral,Permintaan & Hasil,36687-2,XR Chest AP and Lateral,Views AP + lateral,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1018,Radiologi,XR thorax dua proyeksi PA dan lateral dengan prosedur top lordotik,Permintaan & Hasil,36759-9,XR Chest PA and Apical lordotic,Views PA + apical lordotic,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1019,Radiologi,XR thorax lateral,Permintaan & Hasil,39051-8,XR Chest Lateral,View lateral,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1020,Radiologi,XR thorax lateral kanan,Permintaan & Hasil,39051-8,XR Chest Lateral,View lateral,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1021,Radiologi,XR thorax lateral kiri,Permintaan & Hasil,30737-1,XR Chest Left lateral,View L-lateral,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1022,Radiologi,XR thorax LLD,Permintaan & Hasil,24637-1,XR Chest AP left lateral-decubitus,View AP L-lateral-decubitus,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1023,Radiologi,XR thorax oblique kanan,Permintaan & Hasil,37010-6,XR Chest Right oblique,View R-oblique,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1024,Radiologi,XR thorax oblique kiri,Permintaan & Hasil,37008-0,XR Chest Left oblique,View L-oblique,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1025,Radiologi,XR thorax PA,Permintaan & Hasil,24648-8,XR Chest PA upright,View PA upright,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1026,Radiologi,XR thorax PA dan lateral,Permintaan & Hasil,42272-5,XR Chest PA and Lateral,Views PA + lateral,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1027,Radiologi,"XR thorax PA, lateral dan oblique",Permintaan & Hasil,30744-7,XR Chest PA and Lateral and Oblique,Views PA + lateral + oblique,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1028,Radiologi,"XR thorax PA, lateral dengan proyeksi oblique kanan dan kiri",Permintaan & Hasil,39074-0,XR Chest AP and Lateral and Right oblique and Left oblique,Views AP + lateral + R-oblique + L-oblique,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1029,Radiologi,XR thorax RLD,Permintaan & Hasil,43466-2,XR Chest AP right lateral-decubitus,View AP R-lateral-decubitus,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1030,Radiologi,XR thorax satu proyeksi,Permintaan & Hasil,36554-4,XR Chest Single view,View,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1031,Radiologi,XR tibia dan fibula dua proyeksi,Permintaan & Hasil,37895-0,XR Tibia and Fibula 2 Views,Views 2,Find,Pt,Lower extremity>Tibia+Fibula,Doc,XR,,http://loinc.org,,,
1032,Radiologi,XR TMJ bilateral,Permintaan & Hasil,37325-8,XR Temporomandibular joint - bilateral Views,Views,Find,Pt,Head>Temporomandibular joint.bilateral,Doc,XR,,http://loinc.org,,,
1033,Radiologi,XR TMJ buka mulut kanan,Permintaan & Hasil,48490-7,XR Temporomandibular joint - right Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.right,Doc,XR,,http://loinc.org,,,
1034,Radiologi,XR TMJ buka mulut kiri,Permintaan & Hasil,48491-5,XR Temporomandibular joint - left Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.left,Doc,XR,,http://loinc.org,,,
1035,Radiologi,XR TMJ tutup mulut kanan,Permintaan & Hasil,48490-7,XR Temporomandibular joint - right Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.right,Doc,XR,,http://loinc.org,,,
1036,Radiologi,XR TMJ tutup mulut kiri,Permintaan & Hasil,48491-5,XR Temporomandibular joint - left Open and Closed mouth,Views open mouth + closed mouth,Find,Pt,Head>Temporomandibular joint.left,Doc,XR,,http://loinc.org,,,
1037,Radiologi,XR top lordotik,Permintaan & Hasil,24640-5,XR Chest Apical lordotic,View apical lordotic,Find,Pt,Chest,Doc,XR,,http://loinc.org,,,
1038,Radiologi,XR towne,Permintaan & Hasil,37870-3,XR Skull Towne,View Towne,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
1039,Radiologi,XR traktus gastrointestinal atas,Permintaan & Hasil,98283-5,XR Gastrointestinal tract upper Views,Views,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,XR,,http://loinc.org,,,
1040,Radiologi,"XR traktus gastrointestinal dan sistem pulmoner untuk mencari benda asing, satu proyeksi",Permintaan & Hasil,39149-0,XR Gastrointestinal tract and Pulmonary system Single view for foreign body,View for foreign body,Find,Pt,Whole body>Gastrointestinal tract+Pulmonary system,Doc,XR,,http://loinc.org,,,
1041,Radiologi,XR tulang wajah kurang dari tiga proyeksi,Permintaan & Hasil,44199-8,XR Facial bones 1 or 2 Views,Views 1 or 2,Find,Pt,Head>Facial bones,Doc,XR,,http://loinc.org,,,
1042,Radiologi,XR tulang wajah minimal tiga proyeksi,Permintaan & Hasil,48479-0,XR Facial bones GE 3 Views,Views GE 3,Find,Pt,Head>Facial bones,Doc,XR,,http://loinc.org,,,
1043,Radiologi,XR urografi (pielografi) dengan kontras antegrade,Permintaan & Hasil,38101-2,XR Kidney Views W contrast antegrade,Views^W contrast antegrade,Find,Pt,Abdomen>Kidney,Doc,XR,,http://loinc.org,,,
1044,Radiologi,XR urografi (pielografi) dengan kontras IV,Permintaan & Hasil,37607-9,XR Kidney Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Kidney,Doc,XR,,http://loinc.org,,,
1045,Radiologi,XR urografi (pielografi) dengan kontras retrograde,Permintaan & Hasil,38105-3,XR Kidney Views W contrast retrograde,Views^W contrast retrograde,Find,Pt,Abdomen>Kidney,Doc,XR,,http://loinc.org,,,
1046,Radiologi,XR usia tulang (bone age),Permintaan & Hasil,85151-9,XR Bone age,Bone age,Time,Pt,XXX>Bones,Qn,XR,mo,http://loinc.org,,,
1047,Radiologi,XR vertebra cervical dua atau tiga proyeksi,Permintaan & Hasil,43539-6,XR Cervical spine 2 or 3 Views,Views 2 or 3,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,
1048,Radiologi,XR vertebra cervical minimal empat proyeksi,Permintaan & Hasil,44212-9,XR Cervical spine GE 4 Views,Views GE 4,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,
1049,Radiologi,"XR vertebra cervical oblique, fleksi dan ekstensi",Permintaan & Hasil,83022-4,XR Cervical spine 2 or 3 views and (Views W flexion and W extension) and Views oblique,(Views 2 or 3) + (Views^W flexion + W extension) + (Views oblique),Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,
1050,Radiologi,XR vertebra cervical satu proyeksi,Permintaan & Hasil,24940-9,XR Cervical spine Single view,View,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,
1051,Radiologi,XR vertebra cervicothoracal,Permintaan & Hasil,37481-9,XR Cervical and thoracic spine Views,Views,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic,Doc,XR,,http://loinc.org,,,
1052,Radiologi,XR vertebra lengkap AP dan lateral (whole spine),Permintaan & Hasil,93605-4,XR Skull to Coccyx 2 or 3 Views,Views 2 or 3,Find,Pt,Head>Skull & Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar & Pelvis>Sacrum+Coccyx,Doc,XR,,http://loinc.org,,,
1053,Radiologi,XR vertebra lengkap empat atau lima proyeksi (whole spine),Permintaan & Hasil,93606-2,XR Skull to Coccyx 4 or 5 Views,Views 4 or 5,Find,Pt,Head>Skull & Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar & Pelvis>Sacrum+Coccyx,Doc,XR,,http://loinc.org,,,
1054,Radiologi,XR vertebra lengkap minimal enam proyeksi (whole spine),Permintaan & Hasil,93607-0,XR Skull to Coccyx GE 6 Views,Views GE 6,Find,Pt,Head>Skull & Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar & Pelvis>Sacrum+Coccyx,Doc,XR,,http://loinc.org,,,
1055,Radiologi,XR vertebra lengkap stitch view (scoliosis series) ,Permintaan & Hasil,93606-2,XR Skull to Coccyx 4 or 5 Views,Views 4 or 5,Find,Pt,Head>Skull & Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar & Pelvis>Sacrum+Coccyx,Doc,XR,,http://loinc.org,,,
1056,Radiologi,XR vertebra lumbal AP dan lateral,Permintaan & Hasil,24970-6,XR Lumbar spine AP and Lateral,Views AP + lateral,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1057,Radiologi,"XR vertebra lumbal AP, lateral dan oblique",Permintaan & Hasil,36735-9,XR Lumbar spine AP and Lateral and oblique,Views AP + lateral + oblique,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1058,Radiologi,XR vertebra lumbal dinamik fleksi dan ekstensi,Permintaan & Hasil,24971-4,XR Lumbar spine Views W flexion and W extension,Views^W flexion + W extension,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1059,Radiologi,XR vertebra lumbal dua atau tiga proyeksi,Permintaan & Hasil,48469-1,XR Lumbar spine 2 or 3 Views,Views 2 or 3,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1060,Radiologi,XR vertebra lumbal dua proyeksi,Permintaan & Hasil,36670-8,XR Lumbar spine 2 Views,Views 2,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1061,Radiologi,XR vertebra lumbal empat proyeksi,Permintaan & Hasil,36332-5,XR Lumbar spine 4 Views,Views 4,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1062,Radiologi,XR vertebra lumbal satu proyeksi,Permintaan & Hasil,30773-6,XR Lumbar spine Single view,View,Find,Pt,Abdomen>Spine.lumbar,Doc,XR,,http://loinc.org,,,
1063,Radiologi,XR vertebra lumbosakral,Permintaan & Hasil,37340-7,XR Spine Lumbar and Sacrum Views,Views,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,XR,,http://loinc.org,,,
1064,Radiologi,XR vertebra lumbosakral AP,Permintaan & Hasil,37340-7,XR Spine Lumbar and Sacrum Views,Views,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,XR,,http://loinc.org,,,
1065,Radiologi,XR vertebra lumbosakral AP dan lateral,Permintaan & Hasil,79371-1,XR Spine Lumbar and Sacrum GE 2 Views,Views GE 2,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,XR,,http://loinc.org,,,
